layer,auc_mean,auc_std,auc_oof_rank,auc_oof_sk
0,np.float64(0.6602558139534883),np.float64(0.06250361013550464),0.6641293315934464,0.6641293315934464
1,np.float64(0.6592403100775194),np.float64(0.04909762364960218),0.6686965347252428,0.6686965347252428
2,np.float64(0.6439302325581395),np.float64(0.056481120209214454),0.6550674206176599,0.6550674206176598
3,np.float64(0.6369689922480621),np.float64(0.0527961977350901),0.6308539944903582,0.6308539944903581
4,np.float64(0.6353875968992249),np.float64(0.04737351311235736),0.6375960562563433,0.6375960562563433
5,np.float64(0.6685658914728683),np.float64(0.03821600074023141),0.6602145860519066,0.6602145860519065
6,np.float64(0.6384651162790698),np.float64(0.052153236702545784),0.6426707264027838,0.6426707264027838
7,np.float64(0.6026356589147286),np.float64(0.05107161831883207),0.6073655212411193,0.6073655212411194
8,np.float64(0.6310697674418605),np.float64(0.05366118359524188),0.6250543714658547,0.6250543714658547
9,np.float64(0.6356666666666666),np.float64(0.07402005844594158),0.6245469044512106,0.6245469044512106
10,np.float64(0.6372325581395348),np.float64(0.05805225283010404),0.6390459620124692,0.6390459620124691
11,np.float64(0.6009612403100776),np.float64(0.04727971988861215),0.5953313034652747,0.5953313034652747
12,np.float64(0.6109224806201551),np.float64(0.054548434981296356),0.6036682615629984,0.6036682615629985
13,np.float64(0.6119767441860465),np.float64(0.07680498726871061),0.6031607945483544,0.6031607945483544
14,np.float64(0.6040697674418605),np.float64(0.08298865078361428),0.59366391184573,0.5936639118457301
15,np.float64(0.5846899224806201),np.float64(0.05811963483719212),0.5853994490358126,0.5853994490358128
16,np.float64(0.5703178294573643),np.float64(0.03434609304309999),0.5714803537770045,0.5714803537770043
17,np.float64(0.5750387596899225),np.float64(0.037795734110824535),0.5730027548209367,0.5730027548209367
18,np.float64(0.571263565891473),np.float64(0.0484422791349457),0.5720603160794548,0.5720603160794548
19,np.float64(0.5356821705426358),np.float64(0.056595739235895434),0.5312454690445121,0.5312454690445121
20,np.float64(0.5422945736434108),np.float64(0.09438701690273982),0.5363201391909526,0.5363201391909527
21,np.float64(0.5520077519379845),np.float64(0.07044461372701855),0.5395824271422358,0.5395824271422358
22,np.float64(0.5399767441860466),np.float64(0.06747098898716807),0.5240684355516891,0.5240684355516891
23,np.float64(0.535015503875969),np.float64(0.07790179164356598),0.5388574742641729,0.5388574742641727
24,np.float64(0.5254031007751937),np.float64(0.08148987350097026),0.52131361461505,0.52131361461505
25,np.float64(0.5461395348837209),np.float64(0.08271077930015627),0.5439321444106133,0.5439321444106133
26,np.float64(0.5038139534883721),np.float64(0.10398050565445659),0.5105843120197188,0.5105843120197188
27,np.float64(0.537093023255814),np.float64(0.08499513413220945),0.5416847904886183,0.5416847904886183
28,np.float64(0.5048837209302326),np.float64(0.09370076597156092),0.5144265622734522,0.5144265622734523
29,np.float64(0.5210310077519381),np.float64(0.08140940299486178),0.5281281716688415,0.5281281716688415
30,np.float64(0.5105038759689923),np.float64(0.10314436334537376),0.5174713643613165,0.5174713643613166
31,np.float64(0.4778217054263566),np.float64(0.0768991404100562),0.4815137016093954,0.4815137016093954
